player_name,episode,map_code,celda_250,tic,pos_x,pos_y,pos_z,angulo,momentum_x,momentum_y,momentum_z,fov,salud,armadura,municion
Juan,1,E1M2,"(-6,-5)",41027,-1281,-1141,-183,307.61,3,-3,0,90,200,200,400
Juan,1,E1M2,"(-6,4)",41039,-1477,1112,-200,14.97,5,1,0,90,192,200,160
Juan,1,E1M2,"(-6,-5)",41070,-1358,-1063,-144,314.54,4,-2,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",41095,-1569,943,-200,10.96,5,1,0,90,192,200,160
Juan,1,E1M2,"(-6,-5)",41105,-1287,-1128,-144,315.54,3,-2,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41130,-1441,942,-200,14.01,4,1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41140,-1246,-1090,-144,319.21,2,-3,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41165,-1473,929,-200,20.17,3,1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41178,-1136,-1084,-144,315.34,3,-3,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41200,-1477,897,-200,24.12,3,2,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41213,-1132,-1086,-144,299.51,1,-5,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41235,-1472,862,-200,23.25,2,2,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41248,-1182,-1076,-144,297.02,4,-5,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41270,-1471,864,-200,34.27,4,3,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41283,-1170,-1031,-144,295.72,1,-3,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",41305,-1530,913,-200,34.56,4,3,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41318,-1153,-1031,-144,293.72,1,-4,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41340,-1494,913,-200,29.72,3,4,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41353,-1214,-1022,-144,292.44,2,-3,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",41375,-1513,1055,-200,34.76,5,1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41388,-1201,-1022,-144,295.13,1,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",41410,-1554,861,-200,29.6,6,0,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41423,-1201,-1022,-144,296.47,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-5,-5)",41458,-1209,-1025,-144,299.12,1,-5,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",41480,-1584,882,-200,31.88,3,1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",41493,-1241,-1025,-144,300.93,2,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",41515,-1541,892,-200,30.5,3,4,0,90,192,200,160
Juan,1,E1M2,"(-6,-5)",41528,-1292,-1031,-144,298.05,3,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",41550,-1551,923,-200,28.79,4,2,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41563,-1300,-929,-144,303.85,4,-2,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41585,-1477,939,-200,30.14,6,1,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41598,-1300,-929,-144,329.16,0,1,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41620,-1484,957,-200,34.29,4,2,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41633,-1300,-929,-144,34.87,0,3,0,90,200,200,400
Juan,1,E1M2,"(-6,-4)",41668,-1294,-889,-144,69.56,-1,4,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41676,-1487,965,-200,32.49,4,0,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41703,-1257,-895,-144,57.2,2,0,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",41711,-1503,969,-175,29.64,4,1,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41738,-1259,-912,-144,38.62,5,2,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41746,-1483,945,-175,27.96,3,1,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41773,-1277,-888,-144,31.59,4,2,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41781,-1497,977,-175,26.29,3,3,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41808,-1269,-870,-144,16.61,6,0,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41816,-1499,975,-175,27.52,3,3,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41843,-1293,-797,-144,11.25,5,0,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",41851,-1477,993,-175,23.86,6,2,0,90,192,200,160
Juan,1,E1M2,"(-6,-4)",41878,-1254,-790,-144,2.56,2,-1,0,90,200,200,400
Juan,1,E1M2,"(-6,4)",41886,-1432,1076,-175,26.11,6,1,0,90,192,200,160
Juan,1,E1M2,"(-5,-3)",41913,-1201,-738,-144,338.13,3,-2,0,90,200,200,400
Juan,1,E1M2,"(-6,4)",41921,-1412,1085,-175,17.55,5,0,0,90,192,200,160
Juan,1,E1M2,"(-5,-3)",41948,-1193,-742,-144,312.78,1,-3,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",41956,-1621,1083,-175,11.6,5,0,0,90,192,200,160
Juan,1,E1M2,"(-5,-3)",41983,-1193,-742,-144,295.51,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",41991,-1600,1120,-175,7.54,3,-1,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42018,-1167,-742,-144,284.71,1,-5,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42026,-1600,1192,-175,8.33,3,0,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42053,-1167,-742,-144,276.78,0,-6,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42061,-1523,1167,-175,3.18,5,0,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42088,-1167,-742,-144,276.97,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42096,-1502,1098,-175,357.69,4,-1,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42123,-1167,-742,-144,274.95,0,-5,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42131,-1502,1097,-175,357.74,3,0,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42158,-1167,-742,-144,273.07,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42166,-1515,1055,-175,0.01,5,0,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42193,-1167,-742,-144,274.92,0,-5,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42201,-1629,1067,-175,6.94,5,0,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42228,-1163,-736,-144,273.4,-1,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42236,-1643,1147,-175,8.62,6,1,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42263,-1163,-736,-144,273.88,0,-5,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42271,-1664,1184,-175,341.73,3,-2,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42298,-1163,-736,-144,272.73,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42306,-1664,1184,-175,323.84,0,-3,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42333,-1162,-740,-144,271.54,-1,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42341,-1672,1176,-175,307.85,1,-4,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42368,-1162,-740,-144,269.31,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42376,-1677,1176,-175,294.28,1,-5,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42403,-1162,-740,-184,273.37,0,-5,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42411,-1693,1179,-175,293.36,2,-4,0,90,192,200,157
Juan,1,E1M2,"(-5,-3)",42438,-1162,-740,-184,269.57,0,-7,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42446,-1683,1201,-175,294.26,2,-5,0,90,192,200,157
Juan,1,E1M2,"(-6,-4)",42473,-1285,-758,-184,267.97,-1,-5,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42481,-1690,1204,-175,293,1,-5,0,90,192,200,157
Juan,1,E1M2,"(-6,-4)",42508,-1285,-758,-184,288.28,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42516,-1690,1204,-175,290.49,0,-4,0,90,192,200,157
Juan,1,E1M2,"(-6,-4)",42543,-1286,-773,-192,290.36,2,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42551,-1664,1213,-175,291.94,2,-3,0,90,192,200,157
Juan,1,E1M2,"(-6,-3)",42578,-1281,-630,-192,298.26,4,-1,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42607,-1664,1213,-175,289.27,0,-3,0,90,192,200,167
Juan,1,E1M2,"(-6,-3)",42634,-1347,-660,-192,296.03,3,-3,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42642,-1664,1213,-175,287.87,0,-4,0,90,192,200,167
Juan,1,E1M2,"(-6,-3)",42669,-1334,-652,-192,297.35,3,-1,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42677,-1664,1213,-175,289.69,0,-3,0,90,192,200,167
Juan,1,E1M2,"(-6,-3)",42704,-1374,-622,-192,297.62,3,-2,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42712,-1664,1213,-175,287.23,0,-3,0,90,192,200,167
Juan,1,E1M2,"(-6,-3)",42739,-1383,-562,-192,298.71,5,-3,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42747,-1665,1214,-175,282.86,1,-4,0,90,192,200,167
Juan,1,E1M2,"(-6,-3)",42774,-1278,-624,-192,301.06,3,-5,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42782,-1665,1214,-175,281.92,0,-5,0,90,192,200,167
Juan,1,E1M2,"(-6,-3)",42809,-1278,-624,-200,295.33,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",42817,-1665,1214,-194,280.14,0,-6,0,90,192,200,167
Juan,1,E1M2,"(-6,-3)",42844,-1278,-624,-208,298,0,-5,0,90,200,200,400
